sno,count,RMSE,MAE,R2
500112099,8788,0.401751893,0.052490553,0.996486219
500101173,8737,0.40134696,0.044489661,0.996266962
500119096,8652,0.401343511,0.038904569,0.999292406
500104038,8668,0.401042516,0.033543186,0.998809196
500112067,8733,0.400503177,0.043393282,0.997187231
500112060,8732,0.40042708,0.042436874,0.996685971
500101209,8644,0.399989886,0.031906621,0.996281932
500106121,8748,0.399943417,0.048295163,0.999117356
500119083,8713,0.399872398,0.040108759,0.986423021
500107008,8795,0.398321898,0.046535486,0.998521454
500113034,8748,0.398126573,0.046088668,0.998404057
500101233,8698,0.397596565,0.03134264,0.993229162
500110007,8867,0.397280335,0.060010564,0.998510283
500110033,8722,0.396757941,0.042543448,0.996774711
500107010,8747,0.396594535,0.041533726,0.998618978
500110038,8708,0.395940103,0.035101765,0.994410743
500101159,8698,0.395123482,0.034321648,0.996295546
500105007,8723,0.394358915,0.044082671,0.998749955
500106084,8730,0.394255075,0.039139423,0.996885707
500108011,8671,0.391602497,0.029517337,0.997920835
500110046,8747,0.391162569,0.043484729,0.9985563
500113019,8695,0.391067611,0.036816791,0.99146692
500112039,8719,0.390741512,0.036125454,0.998045478
500106135,8818,0.388083403,0.05029945,0.991099269
500107036,8849,0.387957855,0.055348503,0.998735908
500112100,8648,0.387687152,0.028398223,0.995640676
500103037,8758,0.387213542,0.045202704,0.996984077
500112058,8832,0.386301141,0.047070201,0.996017931
500101006,8722,0.38619417,0.036310881,0.996129469
500108098,8696,0.385112662,0.029355845,0.996214401
500106067,8720,0.385086577,0.0446431,0.999204907
500109023,8643,0.384658062,0.025366407,0.996415647
500112015,8737,0.383607305,0.04069921,0.998485024
500107021,8745,0.383354132,0.043428286,0.998398342
500107060,8690,0.38280531,0.028684887,0.995628565
500112022,8764,0.38133093,0.041039933,0.999383221
500108028,8771,0.381240522,0.042698248,0.998455221
500111020,8652,0.380594516,0.032144395,0.99804846
500101001,8968,0.380464102,0.060667261,0.995720702
500106092,8742,0.378782582,0.041003146,0.998219002
500108044,8667,0.378046143,0.030071536,0.999628001
500112056,8761,0.375267287,0.040661778,0.992337697
500106025,8686,0.375029678,0.038218896,0.998959997
500108007,8735,0.374888641,0.03868959,0.996731002
500103024,8747,0.374726243,0.043428992,0.998256819
500103031,8658,0.374466985,0.024238917,0.996842677
500104077,8630,0.372943837,0.027038123,0.996616153
500103035,8749,0.372896019,0.040090059,0.997589998
500101192,8760,0.372796666,0.044035304,0.997932976
500101133,8756,0.3727044,0.044370606,0.998581266
500109045,8654,0.372664473,0.025331908,0.99846545
500101095,8678,0.372632309,0.027315184,0.998389001
500110019,8786,0.371182239,0.047759618,0.998411235
500108033,8674,0.370507744,0.031836682,0.998414405
500101221,8775,0.368493414,0.046182745,0.996864197
500106105,8765,0.368150844,0.038987344,0.994548263
500101155,8857,0.36789413,0.049587657,0.992549578
500103040,8688,0.367355745,0.033218572,0.997848505
500104021,8657,0.367288175,0.031840784,0.997491624
500110021,8695,0.367169749,0.036458769,0.998044772
500119074,8706,0.36698733,0.035124234,0.991143613
500103004,8713,0.366379338,0.040170091,0.998481525
500105010,8641,0.36561462,0.02612708,0.997855769
500105018,8676,0.365291152,0.032087925,0.999369628
500101038,8740,0.365258955,0.036186966,0.988505217
500113065,8666,0.365188884,0.028051119,0.998208887
500107078,8764,0.364945109,0.040300205,0.996044098
500107151,8699,0.364736472,0.033432736,0.997217825
500106118,8830,0.364535094,0.044458456,0.985504386
500101114,8769,0.363227401,0.047485897,0.99855713
500109027,8744,0.362616586,0.04274655,0.999455681
500119051,8747,0.36216586,0.035714868,0.998184556
500101127,8743,0.361135541,0.041126921,0.998808616
500109064,8718,0.360884709,0.033678883,0.997931312
500106091,8696,0.360875832,0.031505613,0.993232643
500113043,8677,0.360691179,0.028440052,0.998950537
500112024,8714,0.359992012,0.034691525,0.9987101
500112104,8765,0.359896402,0.043359139,0.996436838
500107017,8725,0.359256751,0.038859763,0.99711215
500109031,8708,0.358155154,0.03445573,0.99829264
500112009,8694,0.358103774,0.035578292,0.999356069
500107144,8801,0.357642717,0.04693326,0.998602887
500101189,8700,0.357464205,0.030570651,0.998366395
500112119,8695,0.357426139,0.03413483,0.998631471
500113066,8647,0.357366257,0.029277524,0.998271988
500101190,8798,0.357290528,0.043902794,0.99627267
500108027,8704,0.356637265,0.034636582,0.997432022
500106071,8697,0.356633882,0.035790234,0.995692125
500104085,8729,0.355196586,0.030975975,0.997522751
500111003,8749,0.355041482,0.038751419,0.998937383
500101171,8791,0.354718674,0.043955848,0.997258985
500119089,8714,0.354503745,0.036052958,0.988989205
500119044,8724,0.35383667,0.03239197,0.99576002
500109043,8683,0.353733711,0.030984844,0.995294827
500113078,8699,0.352932148,0.027020424,0.996375063
500106013,8732,0.352786764,0.031516644,0.992638192
500110002,8816,0.351653529,0.044649604,0.996853076
500112075,8772,0.351417111,0.041023047,0.995498054
500106009,8681,0.351022032,0.027791211,0.998942811
500101108,8785,0.349711229,0.043043986,0.993573934
500107140,8796,0.348732407,0.042090029,0.996485332
500112125,8623,0.348680499,0.02480436,0.991568853
500107038,8818,0.347453371,0.044615413,0.99549956
500101023,8751,0.346552049,0.037656973,0.996242505
500108025,8713,0.346535355,0.032071942,0.998352481
500101010,8781,0.346190164,0.038764833,0.991809986
500111031,8665,0.345800065,0.025120672,0.99628791
500101210,8707,0.345580159,0.032906009,0.99902618
500110052,8773,0.345292246,0.039378567,0.993102001
500113012,8706,0.344455908,0.033615974,0.996521519
500101128,8723,0.344299641,0.036821869,0.997624007
500112061,8759,0.343889162,0.038778414,0.996200695
500107092,8738,0.343240382,0.029918956,0.996787816
500107014,8734,0.343183959,0.039072639,0.993102374
500103047,8720,0.342942319,0.031778743,0.998759
500106022,8722,0.34280768,0.036029943,0.99831041
500104007,8736,0.342791445,0.03629452,0.997715953
500101002,8794,0.342687266,0.041996059,0.99288406
500119093,8634,0.342597762,0.031041503,0.998728404
500108020,8744,0.342372376,0.033339147,0.995595493
500104043,8646,0.341984973,0.027450266,0.99810808
500103053,8834,0.341163292,0.04792876,0.995305411
500101161,8770,0.34102663,0.040480369,0.993788389
500110020,8731,0.340884816,0.037195606,0.995039528
500103045,8716,0.340536576,0.032231184,0.997317573
500101094,8709,0.339986072,0.031890428,0.996154366
500110018,8718,0.339545384,0.029410606,0.997642705
500107132,8710,0.339192053,0.034435006,0.997725824
500106066,8769,0.338980771,0.038703824,0.998550269
500107114,8772,0.338615815,0.042925966,0.997070134
500110089,8688,0.337332605,0.030554446,0.995865584
500112001,8705,0.33723136,0.032537641,0.995744859
500103010,8652,0.337211992,0.026449222,0.998372877
500101030,8683,0.336984815,0.032977989,0.997373107
500105070,8768,0.33667705,0.039094354,0.998927679
500101163,8754,0.336554406,0.038579542,0.993952383
500101241,8782,0.336358594,0.036991492,0.990735735
500107048,8657,0.336302516,0.027561415,0.997797383
500110040,8731,0.335170629,0.038386687,0.998106778
500110084,8648,0.33482172,0.027686247,0.997137044
500106050,8709,0.334803039,0.033633499,0.998977193
500112092,8636,0.334131941,0.019656187,0.996953179
500101105,8728,0.334007352,0.036993769,0.996199521
500112080,8670,0.333332649,0.0280075,0.995923068
500110066,8679,0.333238488,0.032097707,0.997899549
500112072,8689,0.333195488,0.03155248,0.998845092
500106126,8736,0.332737134,0.034850564,0.997626906
500119047,8683,0.332203352,0.031760904,0.992840481
500112016,8715,0.331668115,0.035222911,0.998545714
500110091,8713,0.33098547,0.033461647,0.998751289
500111037,8644,0.330871039,0.027634941,0.996998459
500111011,8646,0.330843717,0.028028857,0.997944339
500119069,8653,0.330461397,0.025943257,0.992599608
500106052,8683,0.330182034,0.028628623,0.998663046
500112093,8847,0.329996709,0.04434771,0.992332849
500111023,8675,0.329901097,0.033167435,0.998665271
500111033,8658,0.329538843,0.022232078,0.997333823
500111034,8620,0.329146613,0.019627417,0.996344504
500113023,8639,0.328633207,0.01985012,0.997610822
500101251,8793,0.328121305,0.041106703,0.997055494
500113050,8751,0.328020903,0.03712968,0.996050581
500101134,8921,0.327677191,0.043848607,0.991406638
500107015,8641,0.327078136,0.019677024,0.996217226
500113049,8766,0.32704677,0.040743783,0.997591996
500107062,8704,0.326720695,0.031047909,0.998469655
500110049,8771,0.326706709,0.039071412,0.993639077
500112052,8781,0.32589432,0.042261787,0.997159366
500109058,8668,0.32563595,0.026919589,0.99424651
500107076,8707,0.325548877,0.034611183,0.99839773
500109003,8701,0.325031402,0.030683638,0.997876054
500106116,8700,0.324910215,0.03081387,0.994720878
500106075,8764,0.3243859,0.037705062,0.996954756
500105016,8713,0.323862887,0.031466943,0.998588971
500103038,8665,0.323809704,0.029252202,0.995003604
500103043,8758,0.323772746,0.038651684,0.996460381
500107027,8695,0.323615544,0.033237723,0.998984124
500110015,8706,0.323425181,0.030272973,0.990905901
500101162,8646,0.32187417,0.022221933,0.996616715
500103008,8689,0.32176018,0.029200119,0.999050307
500107025,8739,0.31986864,0.034234237,0.993008694
500112103,8722,0.319447267,0.034458343,0.997975436
500108093,8640,0.319059166,0.026886188,0.996272997
500113064,8749,0.319029897,0.036267554,0.998197111
500110054,8704,0.318298137,0.028934992,0.995680812
500111035,8744,0.318009921,0.036440787,0.998876814
500119046,8704,0.317821907,0.034130657,0.996749081
500105023,8698,0.317750242,0.030817539,0.999389386
500112083,8745,0.317519522,0.034485562,0.992313417
